instance_name,provider,region,vcpus,memory_gb,storage_gb,storage_type,hourly_cost,monthly_cost,spot_price,currency,instance_family,network_performance,last_updated
hpc7a.12xlarge,AWS,EU (Paris),24,768.0,0,EBS only,8.5553,6245.369000000001,,USD,Compute optimized,300 Gigabit,2025-08-27 14:39:25.231557
i4i.metal,AWS,AWS GovCloud (US-East),128,1024.0,8,8 x 3750 NVMe SSD,13.235,9661.55,,USD,Storage optimized,75000 Megabit,2025-08-27 14:39:25.231689
i3.8xlarge,AWS,Israel (Tel Aviv),32,244.0,4,4 x 1900 NVMe SSD,2.89,2109.7000000000003,,USD,Storage optimized,10 Gigabit,2025-08-27 14:39:25.231865
i7ie.xlarge,AWS,Asia Pacific (Tokyo),4,32.0,1,1 x 2500 NVMe SSD,0.6118,446.61400000000003,,USD,Storage optimized,Up to 25 Gigabit,2025-08-27 14:39:25.231928
c6i.16xlarge,AWS,Canada West (Calgary),64,128.0,0,EBS only,2.976,2172.48,,USD,Compute optimized,25000 Megabit,2025-08-27 14:39:25.232031
m4.4xlarge,AWS,Asia Pacific (Osaka),16,64.0,0,EBS only,1.032,753.36,,USD,General purpose,High,2025-08-27 14:39:25.232136
r6g.xlarge,AWS,Asia Pacific (Hong Kong),4,32.0,0,EBS only,0.268,195.64000000000001,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.232235
is4gen.xlarge,AWS,US East (Ohio),4,24.0,1,1 x 3750 SSD,0.5763,420.699,,USD,Storage optimized,Up to 25 Gigabit,2025-08-27 14:39:25.232331
c4.xlarge,AWS,US East (N. Virginia),4,7.5,0,EBS only,0.199,145.27,,USD,Compute optimized,High,2025-08-27 14:39:25.232426
g4dn.2xlarge,AWS,AWS GovCloud (US-East),8,32.0,225,225 GB NVMe SSD,0.948,692.04,,USD,GPU instance,Up to 25 Gigabit,2025-08-27 14:39:25.232522
r6idn.large,AWS,US East (N. Virginia),2,16.0,1,1 x 118 NVMe SSD,0.19539,142.6347,,USD,Memory optimized,Up to 25000 Megabit,2025-08-27 14:39:25.232616
c6gd.8xlarge,AWS,EU (London),32,64.0,1,1 x 1900 NVMe SSD,1.472,1074.56,,USD,Compute optimized,12 Gigabit,2025-08-27 14:39:25.232712
m6gd.16xlarge,AWS,Asia Pacific (Tokyo),64,256.0,2,2 x 1900 NVMe SSD,3.744,2733.1200000000003,,USD,General purpose,25 Gigabit,2025-08-27 14:39:25.232805
c7i.48xlarge,AWS,Asia Pacific (Sydney),192,384.0,0,EBS only,11.1888,8167.8240000000005,,USD,Compute optimized,50000 Megabit,2025-08-27 14:39:25.232899
r7g.xlarge,AWS,US East (N. Virginia),4,32.0,0,EBS only,0.2142,156.366,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:25.232991
t4g.xlarge,AWS,EU (London),4,16.0,0,EBS only,0.1504,109.792,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:25.233087
r4.2xlarge,AWS,EU (Ireland),8,61.0,0,EBS only,0.5928,432.74399999999997,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.233179
c5n.metal,AWS,AWS GovCloud (US-East),72,192.0,0,EBS only,4.68,3416.3999999999996,,USD,Compute optimized,100 Gigabit,2025-08-27 14:39:25.233271
m7i-flex.2xlarge,AWS,AWS GovCloud (US-East),8,32.0,0,EBS only,0.4828,352.444,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:25.233362
m6id.2xlarge,AWS,EU (Ireland),8,32.0,1,1 x 474 NVMe SSD,0.5292,386.31600000000003,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:25.233452
m5.16xlarge,AWS,Middle East (UAE),64,256.0,0,EBS only,3.766,2749.18,,USD,General purpose,20 Gigabit,2025-08-27 14:39:25.233544
c7g.2xlarge,AWS,Asia Pacific (Singapore),8,16.0,0,EBS only,0.3332,243.236,,USD,Compute optimized,Up to 15 Gigabit,2025-08-27 14:39:25.233635
c5n.18xlarge,AWS,US West (Oregon),72,192.0,0,EBS only,3.888,2838.24,,USD,Compute optimized,100 Gigabit,2025-08-27 14:39:25.233728
m6a.16xlarge,AWS,EU (London),64,256.0,0,EBS only,3.1968,2333.664,,USD,General purpose,25000 Megabit,2025-08-27 14:39:25.233819
r8gd.12xlarge,AWS,Asia Pacific (Tokyo),48,384.0,3,3 x 950 NVMe SSD,4.26192,3111.2016,,USD,Memory optimized,22500 Megabit,2025-08-27 14:39:25.233853
c7a.32xlarge,AWS,EU (Frankfurt),128,256.0,0,EBS only,7.49632,5472.3135999999995,,USD,Compute optimized,50000 Megabit,2025-08-27 14:39:25.233940
m6gd.8xlarge,AWS,Africa (Cape Town),32,128.0,1,1 x 1900 NVMe SSD,1.92,1401.6,,USD,General purpose,12 Gigabit,2025-08-27 14:39:25.234037
r6i.8xlarge,AWS,US East (Dallas),32,256.0,0,EBS only,2.52,1839.6,,USD,Memory optimized,12500 Megabit,2025-08-27 14:39:25.234070
m5d.2xlarge,AWS,EU (Frankfurt),8,32.0,1,1 x 300 NVMe SSD,0.544,397.12,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:25.234158
i7ie.2xlarge,AWS,AWS GovCloud (US-East),8,64.0,2,2 x 2500 NVMe SSD,1.2558,916.734,,USD,Storage optimized,Up to 25 Gigabit,2025-08-27 14:39:25.234256
c6g.16xlarge,AWS,South America (Sao Paulo),64,128.0,0,EBS only,3.3536,2448.128,,USD,Compute optimized,25 Gigabit,2025-08-27 14:39:25.234350
c5.large,AWS,South America (Sao Paulo),2,4.0,0,EBS only,0.131,95.63000000000001,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:25.234446
r6i.8xlarge,AWS,US West (Phoenix),32,256.0,0,EBS only,2.4192,1766.016,,USD,Memory optimized,12500 Megabit,2025-08-27 14:39:25.234565
t3.medium,AWS,Senegal (Dakar),2,4.0,0,EBS only,0.0547,39.931,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:25.234592
m6a.32xlarge,AWS,EU (Ireland),128,512.0,0,EBS only,6.1632,4499.1359999999995,,USD,General purpose,50000 Megabit,2025-08-27 14:39:25.234677
m8g.24xlarge,AWS,Europe (Spain),96,384.0,0,EBS only,4.79904,3503.2992,,USD,General purpose,40 Gigabit,2025-08-27 14:39:25.234859
c4.8xlarge,AWS,South America (Sao Paulo),36,60.0,0,EBS only,2.47,1803.1000000000001,,USD,Compute optimized,10 Gigabit,2025-08-27 14:39:25.234952
m7i-flex.16xlarge,AWS,Asia Pacific (Singapore),64,256.0,0,EBS only,3.8304,2796.192,,USD,General purpose,Up to 25000 Megabit,2025-08-27 14:39:25.235044
d2.4xlarge,AWS,Middle East (Bahrain),16,122.0,12,12 x 2000 HDD,3.234,2360.82,,USD,Storage optimized,High,2025-08-27 14:39:25.235142
r7gd.4xlarge,AWS,AWS GovCloud (US-East),16,128.0,1,1 x 950 NVMe SSD,1.3078,954.6940000000001,,USD,Memory optimized,Up to 15 Gigabit,2025-08-27 14:39:25.235233
r7g.xlarge,AWS,EU (Paris),4,32.0,0,EBS only,0.2516,183.668,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:25.235326
m6g.metal,AWS,Asia Pacific (Sydney),64,256.0,0,EBS only,3.072,2242.56,,USD,General purpose,25 Gigabit,2025-08-27 14:39:25.235418
r5d.2xlarge,AWS,Asia Pacific (Tokyo),8,64.0,1,1 x 300 NVMe SSD,0.696,508.08,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.235509
r6in.4xlarge,AWS,EU (Stockholm),16,128.0,0,EBS only,1.48824,1086.4152,,USD,Memory optimized,Up to 50000 Megabit,2025-08-27 14:39:25.235600
i7ie.large,AWS,Asia Pacific (Sydney),2,16.0,1,1 x 1250 NVMe SSD,0.3117,227.541,,USD,Storage optimized,Up to 25 Gigabit,2025-08-27 14:39:25.235633
m7i.2xlarge,AWS,Asia Pacific (Seoul),8,32.0,0,EBS only,0.4956,361.788,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:25.235719
m5n.16xlarge,AWS,EU (Frankfurt),64,256.0,0,EBS only,4.512,3293.7599999999998,,USD,General purpose,75 Gigabit,2025-08-27 14:39:25.235813
x2iedn.2xlarge,AWS,Asia Pacific (Seoul),8,256.0,1,1 x 237 NVMe SSD,2.41763,1764.8699,,USD,Memory optimized,Up to 25 Gigabit,2025-08-27 14:39:25.235906
c7i-flex.8xlarge,AWS,US West (N. California),32,64.0,0,EBS only,1.69176,1234.9848,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:39:25.236019
m6g.8xlarge,AWS,Asia Pacific (Hyderabad),32,128.0,0,EBS only,0.8096,591.008,,USD,General purpose,12 Gigabit,2025-08-27 14:39:25.236113
m5d.2xlarge,AWS,Asia Pacific (Singapore),8,32.0,1,1 x 300 NVMe SSD,0.564,411.71999999999997,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:25.236205
g5.24xlarge,AWS,Middle East (UAE),96,384.0,1,1 x 3800 GB NVMe SSD,9.98976,7292.5248,,USD,GPU instance,50 Gigabit,2025-08-27 14:39:25.236298
m6i.4xlarge,AWS,US West (Phoenix),16,64.0,0,EBS only,0.9216,672.768,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:25.236332
m8g.4xlarge,AWS,US West (N. California),16,64.0,0,EBS only,0.83776,611.5648,,USD,General purpose,Up to 15 Gigabit,2025-08-27 14:39:25.236419
r6gd.medium,AWS,Europe (Spain),1,8.0,1,1 x 59 NVMe SSD,0.064,46.72,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.236515
m6g.12xlarge,AWS,EU (London),48,192.0,0,EBS only,2.1312,1555.776,,USD,General purpose,20 Gigabit,2025-08-27 14:39:25.236610
t3a.micro,AWS,AWS GovCloud (US-West),2,1.0,0,EBS only,0.011,8.03,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:25.236702
r7g.16xlarge,AWS,Asia Pacific (Jakarta),64,512.0,0,EBS only,4.1344,3018.112,,USD,Memory optimized,30 Gigabit,2025-08-27 14:39:25.236792
r6id.large,AWS,Asia Pacific (Singapore),2,16.0,1,1 x 118 NVMe SSD,0.1827,133.371,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:25.236882
c6id.4xlarge,AWS,Canada (Central),16,32.0,1,1 x 950 NVMe SSD,0.8904,649.992,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:39:25.237061
r6g.metal,AWS,Asia Pacific (Hyderabad),64,512.0,0,EBS only,2.08,1518.4,,USD,Memory optimized,25 Gigabit,2025-08-27 14:39:25.237151
c5n.metal,AWS,US East (Ohio),72,192.0,0,EBS only,3.888,2838.24,,USD,Compute optimized,100 Gigabit,2025-08-27 14:39:25.237242
m6gd.xlarge,AWS,EU (Milan),4,16.0,1,1 x 237 NVMe SSD,0.2112,154.176,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:25.237337
c5a.4xlarge,AWS,EU (Stockholm),16,32.0,0,EBS only,0.656,478.88,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:25.237428
c5n.9xlarge,AWS,Asia Pacific (Singapore),36,96.0,0,EBS only,2.232,1629.3600000000001,,USD,Compute optimized,50 Gigabit,2025-08-27 14:39:25.237518
r5n.16xlarge,AWS,Asia Pacific (Tokyo),64,512.0,0,EBS only,5.792,4228.16,,USD,Memory optimized,75 Gigabit,2025-08-27 14:39:25.237610
c6id.24xlarge,AWS,US West (Oregon),96,192.0,4,4 x 1425 NVMe SSD,4.8384,3532.032,,USD,Compute optimized,37500 Megabit,2025-08-27 14:39:25.237701
z1d.2xlarge,AWS,Asia Pacific (Mumbai),8,64.0,1,1 x 300 NVMe SSD,0.784,572.32,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.237792
r8g.4xlarge,AWS,US East (Ohio),16,128.0,0,EBS only,0.94256,688.0688,,USD,Memory optimized,Up to 15 Gigabit,2025-08-27 14:39:25.237881
c7i.24xlarge,AWS,Asia Pacific (Mumbai),96,192.0,0,EBS only,4.284,3127.3199999999997,,USD,Compute optimized,37500 Megabit,2025-08-27 14:39:25.237974
f1.16xlarge,AWS,AWS GovCloud (US-West),64,976.0,4,4 x 940 NVMe SSD,15.84,11563.2,,USD,FPGA Instances,25 Gigabit,2025-08-27 14:39:25.238027
m5.12xlarge,AWS,Asia Pacific (Jakarta),48,192.0,0,EBS only,2.88,2102.4,,USD,General purpose,10 Gigabit,2025-08-27 14:39:25.238116
c5d.9xlarge,AWS,Middle East (UAE),36,72.0,1,1 x 900 NVMe SSD,2.158,1575.34,,USD,Compute optimized,10 Gigabit,2025-08-27 14:39:25.238212
c7a.4xlarge,AWS,Asia Pacific (Tokyo),16,32.0,0,EBS only,1.0336,754.528,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:39:25.238322
m6g.xlarge,AWS,EU (Frankfurt),4,16.0,0,EBS only,0.184,134.32,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:25.238417
m7g.4xlarge,AWS,EU (Stockholm),16,64.0,0,EBS only,0.6936,506.328,,USD,General purpose,Up to 15 Gigabit,2025-08-27 14:39:25.238507
c6in.4xlarge,AWS,Africa (Cape Town),16,32.0,0,EBS only,1.21968,890.3664000000001,,USD,Compute optimized,Up to 50000 Megabit,2025-08-27 14:39:25.238599
r6gd.2xlarge,AWS,South America (Sao Paulo),8,64.0,1,1 x 475 NVMe SSD,0.7296,532.6080000000001,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.238689
g6e.2xlarge,AWS,EU (Frankfurt),8,64.0,1,1 x 450 GB NVMe SSD,2.8035,2046.555,,USD,GPU instance,Up to 20 Gigabit,2025-08-27 14:39:25.238782
i4i.24xlarge,AWS,Asia Pacific (Melbourne),96,768.0,6,6 x 3750 NVMe SSD,9.8736,7207.728,,USD,Storage optimized,56250 Megabit,2025-08-27 14:39:25.238873
r5.4xlarge,AWS,Australia (Perth),16,128.0,0,EBS only,1.631,1190.63,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.238906
c8g.16xlarge,AWS,Asia Pacific (Jakarta),64,128.0,0,EBS only,2.93216,2140.4768,,USD,Compute optimized,30 Gigabit,2025-08-27 14:39:25.238992
t3.medium,AWS,Asia Pacific (Mumbai),2,4.0,0,EBS only,0.0448,32.704,,USD,General purpose,Up to 5 Gigabit,2025-08-27 14:39:25.239089
g6.2xlarge,AWS,EU (Stockholm),8,32.0,1,1 x 450 GB NVMe SSD,1.03688,756.9224,,USD,GPU instance,Up to 10 Gigabit,2025-08-27 14:39:25.674434
r5.8xlarge,AWS,US West (N. California),32,256.0,0,EBS only,2.24,1635.2,,USD,Memory optimized,10 Gigabit,2025-08-27 14:39:25.674605
z1d.xlarge,AWS,EU (Frankfurt),4,32.0,1,1 x 150 NVMe SSD,0.45,328.5,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.674746
im4gn.xlarge,AWS,Europe (Spain),4,16.0,1,1 x 1875 SSD,0.4011,292.803,,USD,Storage optimized,Up to 25 Gigabit,2025-08-27 14:39:25.675178
p3.8xlarge,AWS,Asia Pacific (Singapore),32,244.0,0,EBS only,16.936,12363.28,,USD,GPU instance,10 Gigabit,2025-08-27 14:39:25.675243
h1.4xlarge,AWS,US East (N. Virginia),16,64.0,2,2 x 2000 HDD,0.936,683.2800000000001,,USD,Storage optimized,Up to 10 Gigabit,2025-08-27 14:39:25.675369
r5.4xlarge,AWS,Africa (Cape Town),16,128.0,0,EBS only,1.344,981.12,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.675500
m5zn.2xlarge,AWS,Asia Pacific (Tokyo),8,32.0,0,EBS only,0.8534,622.9820000000001,,USD,General purpose,Up to 25 Gigabit,2025-08-27 14:39:25.675626
c6g.4xlarge,AWS,Europe (Spain),16,32.0,0,EBS only,0.5837,426.101,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:25.675750
c7g.12xlarge,AWS,Israel (Tel Aviv),48,96.0,0,EBS only,1.9536,1426.128,,USD,Compute optimized,22500 Megabit,2025-08-27 14:39:25.675875
c8gd.large,AWS,US West (Oregon),2,4.0,1,1 x 118 NVMe SSD,0.09798,71.5254,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:39:25.675945
c6id.12xlarge,AWS,AWS GovCloud (US-West),48,96.0,2,2 x 1425 NVMe SSD,2.9232,2133.936,,USD,Compute optimized,18750 Megabit,2025-08-27 14:39:25.676063
m7i.metal-48xl,AWS,AWS GovCloud (US-East),192,768.0,0,EBS only,12.1968,8903.663999999999,,USD,General purpose,50000 Megabit,2025-08-27 14:39:25.676215
r5d.8xlarge,AWS,Asia Pacific (Mumbai),32,256.0,2,2 x 600 NVMe SSD,2.416,1763.6799999999998,,USD,Memory optimized,10 Gigabit,2025-08-27 14:39:25.676345
m6gd.12xlarge,AWS,Europe (Spain),48,192.0,2,2 x 1425 NVMe SSD,2.4192,1766.016,,USD,General purpose,20 Gigabit,2025-08-27 14:39:25.676469
r5dn.4xlarge,AWS,US East (Ohio),16,128.0,2,2 x 300 NVMe SSD,1.336,975.2800000000001,,USD,Memory optimized,Up to 25 Gigabit,2025-08-27 14:39:25.676592
r7i.16xlarge,AWS,EU (Milan),64,512.0,0,EBS only,4.9728,3630.1440000000002,,USD,Memory optimized,25000 Megabit,2025-08-27 14:39:25.676716
c6gd.medium,AWS,Asia Pacific (Mumbai),1,2.0,1,1 x 59 NVMe SSD,0.0245,17.885,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:25.676847
m5d.metal,AWS,US East (N. Virginia),96,384.0,4,4 x 900 NVMe SSD,5.424,3959.5200000000004,,USD,General purpose,25 Gigabit,2025-08-27 14:39:25.676992
m2.4xlarge,AWS,Asia Pacific (Sydney),8,68.4,2,2 x 840 SSD,1.183,863.59,,USD,Memory optimized,High,2025-08-27 14:39:25.677075
r6i.xlarge,AWS,US East (N. Virginia),4,32.0,0,EBS only,0.252,183.96,,USD,Memory optimized,Up to 12500 Megabit,2025-08-27 14:39:25.677250
c6in.16xlarge,AWS,Asia Pacific (Tokyo),64,128.0,0,EBS only,4.5696,3335.8080000000004,,USD,Compute optimized,100000 Megabit,2025-08-27 14:39:25.677384
m6gd.medium,AWS,Asia Pacific (Taipei),1,4.0,1,1 x 59 NVMe SSD,0.0527,38.471,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:25.677431
r5.8xlarge,AWS,South America (Sao Paulo),32,256.0,0,EBS only,3.216,2347.6800000000003,,USD,Memory optimized,10 Gigabit,2025-08-27 14:39:25.677527
m5dn.16xlarge,AWS,US West (Oregon),64,256.0,4,4 x 600 NVMe SSD,4.352,3176.96,,USD,General purpose,75 Gigabit,2025-08-27 14:39:25.677630
c6in.large,AWS,EU (Stockholm),2,4.0,0,EBS only,0.1218,88.914,,USD,Compute optimized,Up to 25000 Megabit,2025-08-27 14:39:25.677728
m6id.8xlarge,AWS,US West (Oregon),32,128.0,1,1 x 1900 NVMe SSD,1.8984,1385.832,,USD,General purpose,12500 Megabit,2025-08-27 14:39:25.677830
c7gn.medium,AWS,EU (Ireland),1,2.0,0,EBS only,0.0705,51.464999999999996,,USD,Compute optimized,Up to 25 Gigabit,2025-08-27 14:39:25.677924
p5.4xlarge,AWS,Asia Pacific (Mumbai),16,256.0,1,1 x 3840 GB SSD,8.256,6026.88,,USD,GPU instance,100 Gigabit,2025-08-27 14:39:25.678005
r6a.48xlarge,AWS,US West (N. California),192,1536.0,0,EBS only,12.096,8830.08,,USD,Memory optimized,50000 Megabit,2025-08-27 14:39:25.678098
m7i.2xlarge,AWS,US West (Oregon),8,32.0,0,EBS only,0.4032,294.336,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:25.678198
m7gd.metal,AWS,Asia Pacific (Taipei),64,256.0,2,2 x 1900 NVMe SSD,3.9738,2900.8740000000003,,USD,General purpose,30 Gigabit,2025-08-27 14:39:25.678234
r8g.metal-48xl,AWS,EU (Frankfurt),192,1536.0,0,EBS only,13.64352,9959.7696,,USD,Memory optimized,50 Gigabit,2025-08-27 14:39:25.678324
c7gd.2xlarge,AWS,US East (N. Virginia),8,16.0,1,1 x 475 NVMe SSD,0.3629,264.917,,USD,Compute optimized,Up to 15 Gigabit,2025-08-27 14:39:25.678421
c5ad.2xlarge,AWS,US West (Oregon),8,16.0,1,1 x 300 NVMe SSD,0.344,251.11999999999998,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:25.678579
c6i.4xlarge,AWS,US East (Houston),16,32.0,0,EBS only,0.85,620.5,,USD,Compute optimized,Up to 12500 Megabit,2025-08-27 14:39:25.678643
m6in.4xlarge,AWS,US East (New York City),16,64.0,0,EBS only,1.39232,1016.3936,,USD,General purpose,Up to 50000 Megabit,2025-08-27 14:39:25.678680
r6g.8xlarge,AWS,Israel (Tel Aviv),32,256.0,0,EBS only,1.895,1383.35,,USD,Memory optimized,12 Gigabit,2025-08-27 14:39:25.678775
m7g.16xlarge,AWS,Asia Pacific (Thailand),64,256.0,0,EBS only,2.7744,2025.312,,USD,General purpose,30 Gigabit,2025-08-27 14:39:25.678880
gr6f.4xlarge,AWS,EU (Stockholm),16,128.0,1,1 x 450 NVMe SSD,1.13069,825.4037,,USD,GPU instance,Up to 25 Gigabit,2025-08-27 14:39:25.678919
r5.16xlarge,AWS,Middle East (Bahrain),64,512.0,0,EBS only,4.963,3622.9900000000002,,USD,Memory optimized,20 Gigabit,2025-08-27 14:39:25.679010
h1.16xlarge,AWS,US East (Ohio),64,256.0,8,8 x 2000 HDD,3.744,2733.1200000000003,,USD,Storage optimized,25 Gigabit,2025-08-27 14:39:25.679115
c6in.8xlarge,AWS,Asia Pacific (Jakarta),32,64.0,0,EBS only,2.0832,1520.736,,USD,Compute optimized,50000 Megabit,2025-08-27 14:39:25.679214
m7i-flex.4xlarge,AWS,US West (Oregon),16,64.0,0,EBS only,0.76608,559.2384,,USD,General purpose,Up to 12500 Megabit,2025-08-27 14:39:25.679309
r8g.12xlarge,AWS,US West (N. California),48,384.0,0,EBS only,3.1416,2293.368,,USD,Memory optimized,22.5 Gigabit,2025-08-27 14:39:25.679403
r8g.metal-24xl,AWS,EU (Ireland),96,768.0,0,EBS only,6.32832,4619.6736,,USD,Memory optimized,40 Gigabit,2025-08-27 14:39:25.679495
m6gd.xlarge,AWS,Europe (Zurich),4,16.0,1,1 x 237 NVMe SSD,0.2398,175.054,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:25.679589
r6in.4xlarge,AWS,Asia Pacific (Singapore),16,128.0,0,EBS only,1.66608,1216.2384,,USD,Memory optimized,Up to 50000 Megabit,2025-08-27 14:39:25.679768
c5n.2xlarge,AWS,US East (Ohio),8,21.0,0,EBS only,0.432,315.36,,USD,Compute optimized,Up to 25 Gigabit,2025-08-27 14:39:25.679860
g3.16xlarge,AWS,Asia Pacific (Singapore),64,488.0,0,EBS only,6.68,4876.4,,USD,GPU instance,20 Gigabit,2025-08-27 14:39:25.679895
x2iedn.24xlarge,AWS,Asia Pacific (Malaysia),96,3072.0,2,2 x 1425 NVMe SSD,26.11035,19060.5555,,USD,Memory optimized,75 Gigabit,2025-08-27 14:39:25.679984
i2.8xlarge,AWS,Asia Pacific (Tokyo),32,244.0,8,8 x 800 SSD,8.004,5842.92,,USD,Storage optimized,10 Gigabit,2025-08-27 14:39:25.680080
c8gn.4xlarge,AWS,US East (N. Virginia),16,32.0,0,EBS only,0.948,692.04,,USD,Compute optimized,50 Gigabit,2025-08-27 14:39:25.680116
r5a.8xlarge,AWS,AWS GovCloud (US-West),32,256.0,0,EBS only,2.176,1588.48,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.680203
r5a.2xlarge,AWS,EU (Ireland),8,64.0,0,EBS only,0.508,370.84000000000003,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.680300
r6i.24xlarge,AWS,Canada (Central),96,768.0,0,EBS only,6.624,4835.5199999999995,,USD,Memory optimized,37500 Megabit,2025-08-27 14:39:25.680393
i3en.24xlarge,AWS,Europe (Zurich),96,768.0,8,8 x 7500 NVMe SSD,14.256,10406.880000000001,,USD,Storage optimized,100 Gigabit,2025-08-27 14:39:25.680487
i4i.12xlarge,AWS,Europe (Zurich),48,384.0,3,3 x 3750 NVMe SSD,5.401,3942.73,,USD,Storage optimized,28125 Megabit,2025-08-27 14:39:25.680581
i3en.24xlarge,AWS,US West (Oregon),96,768.0,8,8 x 7500 NVMe SSD,10.848,7919.040000000001,,USD,Storage optimized,100 Gigabit,2025-08-27 14:39:25.680673
r4.xlarge,AWS,Asia Pacific (Seoul),4,30.5,0,EBS only,0.32,233.6,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.680766
x2iedn.metal,AWS,South America (Sao Paulo),128,4096.0,2,2 x 1900 NVMe SSD,52.02,37974.600000000006,,USD,Memory optimized,100 Gigabit,2025-08-27 14:39:25.680878
c7g.metal,AWS,Middle East (Bahrain),64,128.0,0,EBS only,2.8723,2096.779,,USD,Compute optimized,30 Gigabit,2025-08-27 14:39:25.681013
c6in.xlarge,AWS,US East (Chicago),4,8.0,0,EBS only,0.2835,206.95499999999998,,USD,Compute optimized,Up to 30000 Megabit,2025-08-27 14:39:25.681062
c6gd.xlarge,AWS,US West (N. California),4,8.0,1,1 x 237 NVMe SSD,0.192,140.16,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:25.681186
m1.xlarge,AWS,US West (Oregon),4,15.0,4,4 x 420 SSD,0.35,255.49999999999997,,USD,General purpose,High,2025-08-27 14:39:25.681274
c6id.metal,AWS,EU (Ireland),128,256.0,4,4 x 1900 NVMe SSD,7.3248,5347.104,,USD,Compute optimized,50000 Megabit,2025-08-27 14:39:25.681404
c5d.18xlarge,AWS,Asia Pacific (Hong Kong),72,144.0,2,2 x 900 NVMe SSD,4.428,3232.44,,USD,Compute optimized,25 Gigabit,2025-08-27 14:39:25.681549
c6g.xlarge,AWS,Mexico (Central),4,8.0,0,EBS only,0.1428,104.24400000000001,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:25.681685
c6gd.2xlarge,AWS,Asia Pacific (Seoul),8,16.0,1,1 x 475 NVMe SSD,0.352,256.96,,USD,Compute optimized,Up to 10 Gigabit,2025-08-27 14:39:25.681818
x2iedn.4xlarge,AWS,US West (Oregon),16,512.0,1,1 x 475 NVMe SSD,3.3345,2434.185,,USD,Memory optimized,Up to 25 Gigabit,2025-08-27 14:39:25.682079
r5d.8xlarge,AWS,US East (Verizon) - Nashville,32,256.0,2,2 x 600 NVMe SSD,3.11,2270.2999999999997,,USD,Memory optimized,10 Gigabit,2025-08-27 14:39:25.682127
i4i.16xlarge,AWS,EU (Frankfurt),64,512.0,4,4 x 3750 NVMe SSD,6.547,4779.3099999999995,,USD,Storage optimized,35000 Megabit,2025-08-27 14:39:25.682251
vt1.6xlarge,AWS,EU (Ireland),24,48.0,0,EBS only,1.46824,1071.8152,,USD,Media Accelerator Instances,6250 Megabit,2025-08-27 14:39:25.682392
u7i-6tb.112xlarge,AWS,US East (N. Virginia),448,6144.0,0,EBS only,62.79,45836.7,,USD,Memory optimized,100 Gigabit,2025-08-27 14:39:25.682441
r6g.4xlarge,AWS,Mexico (Central),16,128.0,0,EBS only,0.8467,618.091,,USD,Memory optimized,Up to 10 Gigabit,2025-08-27 14:39:25.682568
m6gd.medium,AWS,EU (Frankfurt),1,4.0,1,1 x 59 NVMe SSD,0.0545,39.785,,USD,General purpose,Up to 10 Gigabit,2025-08-27 14:39:25.682706
